gene_symbol	gene_id	Gene.Name	Case.PTV	Ctrl.PTV	Case.mis3	Ctrl.mis3	Case.mis2	Ctrl.mis2	P.ca.co..Class.1.	P.ca.co..Class.2.	P.ca.co..comb.	De.novo.PTV	De.novo.mis3	De.novo.mis2	P.de.novo	P.meta	Q.meta	OR..PTV.	OR..Class.I.	OR..Class.II.	Case.syn	Ctrl.syn	P.ca.co..syn.	P.meta..no.gnomAD	Case.Ctrl.PTV..no.gnomAD	Case.Ctrl.mis3..no.gnomAD	Case.Ctrl.mis2..no.gnomAD	P.ca.co..Class.I...no.gnomAD	P.ca.co..Class.II...no.gnomAD	P.ca.co..comb...no.gnomAD
PSME3	ENSG00000131467	Proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	0	2	0	0	4	10	1	0.506	0.871	NA	NA	NA	NA	0.871	1	0 (0<96>21.4)	0 (0<96>21.4)	1.61 (0.368<96>5.57)	15	47	0.386	0.936	0/2	0/0	4/6	1	0.743	0.936
PSME4	ENSG00000068878	Proteasome (prosome, macropain) activator subunit 4	6	18	0	0	0	0	0.684	NA	0.684	NA	NA	NA	NA	0.684	1	1.34 (0.435<96>3.52)	1.34 (0.435<96>3.52)		73	265	0.441	0.346	6/6	0/0	0/0	0.346	NA	0.346
PSMF1	ENSG00000125818	Proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	2	10	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.803 (0.0855<96>3.77)	0.803 (0.0855<96>3.77)		18	65	0.682	1	2/4	0/0	0/0	1	NA	1
PSMG1	ENSG00000183527	Proteasome (prosome, macropain) assembly chaperone 1	5	6	0	0	0	0	0.0645	NA	0.0645	NA	NA	NA	NA	0.0645	1	3.35 (0.808<96>13.2)	3.35 (0.808<96>13.2)		8	32	1	0.0365	5/1	0/0	0/0	0.0365	NA	0.0365
PSMG2	ENSG00000128789	Proteasome (prosome, macropain) assembly chaperone 2	6	18	0	0	0	0	0.727	NA	0.727	NA	NA	NA	NA	0.727	1	1.34 (0.435<96>3.52)	1.34 (0.435<96>3.52)		7	26	0.873	0.73	6/9	0/0	0/0	0.73	NA	0.73
PSMG3	ENSG00000157778	Proteasome (prosome, macropain) assembly chaperone 3	6	2	0	0	0	0	0.0047	NA	0.0047	NA	NA	NA	NA	0.0047	0.567	12 (2.15<96>122)	12 (2.15<96>122)		6	29	0.821	0.00381	6/0	0/0	0/0	0.00381	NA	0.00381
PSMG4	ENSG00000180822	Proteasome (prosome, macropain) assembly chaperone 4	0	1	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>156)	0 (0<96>156)		6	2	0.16	1	0/1	0/0	0/0	1	NA	1
PSORS1C1	ENSG00000204540	Psoriasis susceptibility 1 candidate 1	3	12	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	1 (0.182<96>3.72)	1 (0.182<96>3.72)		4	23	0.65	0.694	3/4	0/0	0/0	0.694	NA	0.694
PSORS1C2	ENSG00000204538	Psoriasis susceptibility 1 candidate 2	1	4	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	1 (0.0204<96>10.1)	1 (0.0204<96>10.1)		5	10	0.185	1	1/3	0/0	0/0	1	NA	1
PSPC1	ENSG00000121390	Paraspeckle component 1	1	2	2	10	13	36	0.753	0.298	0.576	NA	NA	NA	NA	0.576	1	4.01 (0.291<96>55.3)	1.34 (0.314<96>4.42)	1.45 (0.705<96>2.8)	18	82	0.698	0.639	1/1	2/3	13/17	0.796	0.371	0.639
PSPH	ENSG00000146733	Phosphoserine phosphatase	4	14	0	0	0	0	0.939	NA	0.939	NA	NA	NA	NA	0.939	1	1.15 (0.275<96>3.65)	1.15 (0.275<96>3.65)		3	31	0.132	0.894	4/5	0/0	0/0	0.894	NA	0.894
PSPN	ENSG00000125650	Persephin	3	1	0	0	0	0	0.226	NA	0.226	NA	NA	NA	NA	0.226	1	12 (0.967<96>630)	12 (0.967<96>630)		6	22	0.826	0.24	3/1	0/0	0/0	0.24	NA	0.24
PSRC1	ENSG00000134222	Proline/serine-rich coiled-coil 1	5	14	0	0	0	0	0.459	NA	0.459	NA	NA	NA	NA	0.459	1	1.43 (0.404<96>4.21)	1.43 (0.404<96>4.21)		21	64	0.268	0.794	5/10	0/0	0/0	0.794	NA	0.794
PSTK	ENSG00000179988	Phosphoseryl-tRNA kinase	12	39	0	0	0	0	0.514	NA	0.514	NA	NA	NA	NA	0.514	1	1.24 (0.589<96>2.41)	1.24 (0.589<96>2.41)		9	58	0.196	0.892	12/23	0/0	0/0	0.892	NA	0.892
PSTPIP1	ENSG00000140368	Proline-serine-threonine phosphatase interacting protein 1	0	16	0	0	0	0	0.0793	NA	0.0793	NA	NA	NA	NA	0.0793	1	0 (0<96>1.04)	0 (0<96>1.04)		24	64	0.189	0.142	0/7	0/0	0/0	0.142	NA	0.142
PSTPIP2	ENSG00000152229	Proline-serine-threonine phosphatase interacting protein 2	4	15	0	0	0	0	0.695	NA	0.695	NA	NA	NA	NA	0.695	1	1.07 (0.259<96>3.36)	1.07 (0.259<96>3.36)		8	43	0.587	0.781	4/8	0/0	0/0	0.781	NA	0.781
PTAFR	ENSG00000169403	Platelet-activating factor receptor	4	6	0	0	0	0	0.285	NA	0.285	NA	NA	NA	NA	0.285	1	2.68 (0.555<96>11.3)	2.68 (0.555<96>11.3)		15	68	0.775	0.594	4/5	0/0	0/0	0.594	NA	0.594
PTAR1	ENSG00000188647	Protein prenyltransferase alpha subunit repeat containing 1	3	4	0	0	0	0	0.167	NA	0.167	NA	NA	NA	NA	0.167	1	3.01 (0.441<96>17.8)	3.01 (0.441<96>17.8)		10	55	0.517	0.529	3/4	0/0	0/0	0.529	NA	0.529
PTBP1	ENSG00000011304	Polypyrimidine tract binding protein 1	0	3	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>9.71)	0 (0<96>9.71)		47	160	0.338	1	0/2	0/0	0/0	1	NA	1
PTBP2	ENSG00000117569	Polypyrimidine tract binding protein 2	2	2	1	0	5	24	0.143	1	0.143	NA	NA	NA	NA	0.143	1	4.01 (0.291<96>55.3)	6.02 (0.69<96>72.2)	0.836 (0.249<96>2.24)	13	82	0.157	0.403	2/2	1/0	5/16	0.403	0.484	0.403
PTBP3	ENSG00000119314	Polypyrimidine tract binding protein 3	4	7	0	0	3	7	0.0409	0.365	0.0275	NA	NA	NA	NA	0.0275	0.871	2.29 (0.492<96>9.02)	2.29 (0.492<96>9.02)	1.72 (0.287<96>7.54)	21	79	0.802	0.142	4/4	0/0	3/3	0.199	0.361	0.142
PTCD1	ENSG00000106246	Pentatricopeptide repeat domain 1	13	47	0	0	0	0	0.827	NA	0.827	NA	NA	NA	NA	0.827	1	1.11 (0.551<96>2.09)	1.11 (0.551<96>2.09)		47	205	0.752	0.253	13/16	0/0	0/0	0.253	NA	0.253
PTCD2	ENSG00000049883	Pentatricopeptide repeat domain 2	5	28	0	0	0	0	0.807	NA	0.807	NA	NA	NA	NA	0.807	1	0.717 (0.216<96>1.88)	0.717 (0.216<96>1.88)		18	79	0.798	0.858	5/9	0/0	0/0	0.858	NA	0.858
PTCD3	ENSG00000132300	Pentatricopeptide repeat domain 3	24	65	0	0	0	0	0.0947	NA	0.0947	NA	NA	NA	NA	0.0947	1	1.48 (0.887<96>2.4)	1.48 (0.887<96>2.4)		28	106	0.737	0.0687	24/25	0/0	0/0	0.0687	NA	0.0687
PTCH1	ENSG00000185920	Patched 1	1	8	0	0	0	1	1	1	1	NA	NA	NA	NA	1	1	0.502 (0.0113<96>3.74)	0.502 (0.0113<96>3.74)	0 (0<96>156)	82	388	0.171	1	1/4	0/0	0/1	1	1	1
PTCH2	ENSG00000117425	Patched 2	15	54	0	0	0	0	0.628	NA	0.628	NA	NA	NA	NA	0.628	1	1.11 (0.584<96>2.01)	1.11 (0.584<96>2.01)		71	226	0.3	0.401	15/21	0/0	0/0	0.401	NA	0.401
PTCHD1	ENSG00000165186	Patched domain containing 1	NA	NA	NA	NA	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0 (0<96>Inf)		0 (0<96>156)	25	162	0.0157	NA				NA	NA	NA
PTCHD2	ENSG00000204624	Patched domain containing 2	17	46	0	0	0	0	0.0626	NA	0.0626	NA	NA	NA	NA	0.0626	1	1.48 (0.797<96>2.64)	1.48 (0.797<96>2.64)		90	336	0.528	0.0284	17/22	0/0	0/0	0.0284	NA	0.0284
PTCHD3	ENSG00000182077	Patched domain containing 3	14	55	0	0	0	0	0.813	NA	0.813	NA	NA	NA	NA	0.813	1	1.02 (0.525<96>1.86)	1.02 (0.525<96>1.86)		39	148	0.776	0.523	14/24	0/0	0/0	0.523	NA	0.523
PTCHD4	ENSG00000244694	Patched domain containing 4	3	18	0	0	0	0	0.563	NA	0.563	NA	NA	NA	NA	0.563	1	0.669 (0.126<96>2.29)	0.669 (0.126<96>2.29)		46	177	0.81	0.335	3/10	0/0	0/0	0.335	NA	0.335
PTCRA	ENSG00000171611	Pre T-cell antigen receptor alpha	0	4	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>6.08)	0 (0<96>6.08)		11	30	0.359	1	0/2	0/0	0/0	1	NA	1
PTDSS1	ENSG00000156471	Phosphatidylserine synthase 1	5	14	0	0	1	6	0.536	1	0.536	NA	NA	NA	NA	0.536	1	1.43 (0.404<96>4.21)	1.43 (0.404<96>4.21)	0.669 (0.0145<96>5.51)	15	74	0.595	1	5/10	0/0	1/2	1	1	1
PTDSS2	ENSG00000174915	Phosphatidylserine synthase 2	5	28	0	0	0	0	0.675	NA	0.675	NA	NA	NA	NA	0.675	1	0.717 (0.216<96>1.88)	0.717 (0.216<96>1.88)		22	102	0.631	1	5/10	0/0	0/0	1	NA	1
PTEN	ENSG00000171862	Phosphatase and tensin homolog	2	5	1	2	5	10	0.627	0.256	0.454	NA	NA	NA	NA	0.454	1	1.61 (0.153<96>9.81)	1.72 (0.287<96>7.54)	2.01 (0.538<96>6.45)	13	62	0.668	0.815	2/4	1/2	5/5	1	0.338	0.815
PTER	ENSG00000165983	Phosphotriesterase related	10	23	0	0	0	0	0.215	NA	0.215	NA	NA	NA	NA	0.215	1	1.75 (0.741<96>3.81)	1.75 (0.741<96>3.81)		17	62	0.671	0.16	10/11	0/0	0/0	0.16	NA	0.16
PTF1A	ENSG00000168267	Pancreas specific transcription factor, 1a	0	3	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>9.71)	0 (0<96>9.71)		6	21	0.799	1	0/2	0/0	0/0	1	NA	1
PTGDR	ENSG00000168229	Prostaglandin D2 receptor (DP)	1	18	0	0	0	0	0.229	NA	0.229	NA	NA	NA	NA	0.229	1	0.223 (0.00535<96>1.41)	0.223 (0.00535<96>1.41)		29	103	0.646	0.151	1/10	0/0	0/0	0.151	NA	0.151
PTGDR2	ENSG00000183134	Prostaglandin D2 receptor 2	3	3	0	0	10	33	0.0873	0.669	0.078	NA	NA	NA	NA	0.078	1	4.01 (0.538<96>30)	4.01 (0.538<96>30)	1.22 (0.535<96>2.53)	9	33	0.886	0.0429	3/1	0/0	10/11	0.0586	0.434	0.0429
PTGDS	ENSG00000107317	Prostaglandin D2 synthase 21kDa (brain)	3	14	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.86 (0.158<96>3.08)	0.86 (0.158<96>3.08)		9	37	1	0.418	3/4	0/0	0/0	0.418	NA	0.418
PTGER1	ENSG00000160951	Prostaglandin E receptor 1 (subtype EP1), 42kDa	6	0	0	0	1	1	6.22e-4	0.622	5.85e-4	NA	NA	NA	NA	5.85e-4	0.212	Inf (4.73<96>Inf)	Inf (4.73<96>Inf)	4.01 (0.0511<96>314)	12	18	0.0919	0.00443	6/0	0/0	1/1	0.00461	0.687	0.00443
PTGER2	ENSG00000125384	Prostaglandin E receptor 2 (subtype EP2), 53kDa	5	15	0	0	2	17	0.631	0.433	0.631	NA	NA	NA	NA	0.631	1	1.34 (0.38<96>3.87)	1.34 (0.38<96>3.87)	0.472 (0.0529<96>1.99)	19	73	0.891	0.563	5/6	0/0	2/6	0.563	1	0.563
PTGER3	ENSG00000050628	Prostaglandin E receptor 3 (subtype EP3)	2	11	0	0	0	5	0.723	0.564	0.628	NA	NA	NA	NA	0.628	1	0.73 (0.0786<96>3.34)	0.73 (0.0786<96>3.34)	0 (0<96>4.38)	16	58	0.721	0.558	2/6	0/0	0/1	0.558	1	0.558
PTGER4	ENSG00000171522	Prostaglandin E receptor 4 (subtype EP4)	1	2	0	1	5	11	0.314	0.437	0.243	NA	NA	NA	NA	0.243	1	2.01 (0.034<96>38.5)	1.34 (0.0255<96>16.7)	1.82 (0.497<96>5.7)	25	97	0.908	0.276	1/0	0/0	5/7	0.318	0.625	0.276
PTGES2	ENSG00000148334	Prostaglandin E synthase 2	2	12	0	0	0	0	0.331	NA	0.331	NA	NA	NA	NA	0.331	1	0.669 (0.0727<96>3)	0.669 (0.0727<96>3)		19	66	0.595	0.233	2/6	0/0	0/0	0.233	NA	0.233
PTGES3	ENSG00000110958	Prostaglandin E synthase 3 (cytosolic)	1	2	0	0	0	0	0.712	NA	0.712	NA	NA	NA	NA	0.712	1	2.01 (0.034<96>38.5)	2.01 (0.034<96>38.5)		3	15	1	0.657	1/0	0/0	0/0	0.657	NA	0.657
PTGES3L	ENSG00000267060	Prostaglandin E synthase 3 (cytosolic)-like	1	5	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.803 (0.017<96>7.17)	0.803 (0.017<96>7.17)		5	23	1	1	1/3	0/0	0/0	1	NA	1
PTGFR	ENSG00000122420	Prostaglandin F receptor (FP)	2	10	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.803 (0.0855<96>3.77)	0.803 (0.0855<96>3.77)		13	55	1	0.574	2/2	0/0	0/0	0.574	NA	0.574
PTGFRN	ENSG00000134247	Prostaglandin F2 receptor inhibitor	6	28	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.86 (0.291<96>2.12)	0.86 (0.291<96>2.12)		51	191	0.69	0.288	6/21	0/0	0/0	0.288	NA	0.288
PTGIR	ENSG00000160013	Prostaglandin I2 (prostacyclin) receptor (IP)	1	3	0	0	0	0	0.618	NA	0.618	NA	NA	NA	NA	0.618	1	1.34 (0.0255<96>16.7)	1.34 (0.0255<96>16.7)		13	30	0.551	1	1/2	0/0	0/0	1	NA	1
PTGIS	ENSG00000124212	Prostaglandin I2 (prostacyclin) synthase	13	35	0	0	0	0	0.426	NA	0.426	NA	NA	NA	NA	0.426	1	1.49 (0.724<96>2.89)	1.49 (0.724<96>2.89)		27	88	0.313	0.213	13/14	0/0	0/0	0.213	NA	0.213
PTGR1	ENSG00000106853	Prostaglandin reductase 1	2	18	0	0	0	0	0.432	NA	0.432	NA	NA	NA	NA	0.432	1	0.446 (0.0502<96>1.86)	0.446 (0.0502<96>1.86)		21	53	0.1	0.507	2/8	0/0	0/0	0.507	NA	0.507
PTGR2	ENSG00000140043	Prostaglandin reductase 2	10	26	0	0	0	0	0.652	NA	0.652	NA	NA	NA	NA	0.652	1	1.54 (0.664<96>3.31)	1.54 (0.664<96>3.31)		14	45	0.533	0.513	10/13	0/0	0/0	0.513	NA	0.513
PTGS1	ENSG00000095303	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	6	19	0	0	0	0	0.681	NA	0.681	NA	NA	NA	NA	0.681	1	1.27 (0.414<96>3.3)	1.27 (0.414<96>3.3)		25	117	0.528	0.463	6/8	0/0	0/0	0.463	NA	0.463
PTGS2	ENSG00000073756	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	0	3	0	0	0	2	1	1	1	NA	NA	NA	NA	1	1	0 (0<96>9.71)	0 (0<96>9.71)	0 (0<96>21.4)	34	114	0.41	1	0/2	0/0	0/1	1	1	1
PTH	ENSG00000152266	Parathyroid hormone	1	5	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.803 (0.017<96>7.17)	0.803 (0.017<96>7.17)		7	12	0.0642	1	1/4	0/0	0/0	1	NA	1
PTH1R	ENSG00000160801	Parathyroid hormone 1 receptor	2	8	0	0	0	0	0.653	NA	0.653	NA	NA	NA	NA	0.653	1	1 (0.104<96>5.03)	1 (0.104<96>5.03)		32	107	0.405	0.637	2/3	0/0	0/0	0.637	NA	0.637
PTH2	ENSG00000142538	Parathyroid hormone 2	0	5	0	0	0	0	0.901	NA	0.901	NA	NA	NA	NA	0.901	1	0 (0<96>4.38)	0 (0<96>4.38)		4	12	0.583	1	0/2	0/0	0/0	1	NA	1
PTH2R	ENSG00000144407	Parathyroid hormone 2 receptor	11	33	0	0	0	0	0.563	NA	0.563	NA	NA	NA	NA	0.563	1	1.34 (0.61<96>2.71)	1.34 (0.61<96>2.71)		19	62	0.413	0.618	11/16	0/0	0/0	0.618	NA	0.618
PTHLH	ENSG00000087494	Parathyroid hormone-like hormone	0	1	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>156)	0 (0<96>156)		2	26	0.216	NA				NA	NA	NA
PTK2	ENSG00000169398	Protein tyrosine kinase 2	8	6	0	1	4	11	0.00484	0.494	0.00374	NA	NA	NA	NA	0.00374	0.525	5.35 (1.63<96>18.7)	4.59 (1.45<96>14.9)	1.46 (0.339<96>4.93)	32	164	0.231	0.0544	8/5	0/1	4/5	0.0735	0.441	0.0544
PTK2B	ENSG00000120899	Protein tyrosine kinase 2 beta	5	45	0	0	0	0	0.115	NA	0.115	NA	NA	NA	NA	0.115	1	0.446 (0.138<96>1.12)	0.446 (0.138<96>1.12)		58	222	0.762	0.0606	5/29	0/0	0/0	0.0606	NA	0.0606
PTK6	ENSG00000101213	Protein tyrosine kinase 6	4	19	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.845 (0.209<96>2.54)	0.845 (0.209<96>2.54)		28	72	0.0794	0.98	4/11	0/0	0/0	0.98	NA	0.98
PTK7	ENSG00000112655	Protein tyrosine kinase 7	5	13	0	0	9	40	0.753	1	0.753	NA	NA	NA	NA	0.753	1	1.54 (0.431<96>4.61)	1.54 (0.431<96>4.61)	0.903 (0.385<96>1.89)	51	199	0.889	0.954	5/8	0/0	9/22	0.954	0.852	0.954
PTMA	ENSG00000187514	Prothymosin, alpha	3	1	0	0	0	0	0.0476	NA	0.0476	NA	NA	NA	NA	0.0476	0.975	12 (0.967<96>630)	12 (0.967<96>630)		6	26	1	0.134	3/1	0/0	0/0	0.134	NA	0.134
PTMS	ENSG00000159335	Parathymosin	0	3	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>9.71)	0 (0<96>9.71)		7	19	0.708	NA				NA	NA	NA
PTN	ENSG00000105894	Pleiotrophin	0	7	0	0	1	0	0.533	0.389	0.533	NA	NA	NA	NA	0.533	1	0 (0<96>2.78)	0 (0<96>2.78)	Inf (0.103<96>Inf)	5	18	0.809	0.548	0/3	0/0	1/0	0.548	0.395	0.548
PTOV1	ENSG00000104960	Prostate tumor overexpressed 1	0	17	0	0	0	0	0.077	NA	0.077	NA	NA	NA	NA	0.077	1	0 (0<96>0.973)	0 (0<96>0.973)		25	94	0.747	0.164	0/7	0/0	0/0	0.164	NA	0.164
PTP4A1	ENSG00000112245	Protein tyrosine phosphatase type IVA, member 1	2	2	0	0	0	0	0.106	NA	0.106	NA	NA	NA	NA	0.106	1	4.01 (0.291<96>55.3)	4.01 (0.291<96>55.3)		3	27	0.223	0.152	2/1	0/0	0/0	0.152	NA	0.152
PTP4A2	ENSG00000184007	Protein tyrosine phosphatase type IVA, member 2	NA	NA	NA	NA	4	8	NA	0.271	NA	NA	NA	NA	NA	NA	NA	0 (0<96>Inf)		2.01 (0.442<96>7.49)	7	32	1	NA	0/0	0/0	4/2	NA	0.137	NA
PTP4A3	ENSG00000184489	Protein tyrosine phosphatase type IVA, member 3	0	4	0	0	1	0	1	0.39	0.834	NA	NA	NA	NA	0.834	1	0 (0<96>6.08)	0 (0<96>6.08)	Inf (0.103<96>Inf)	5	30	0.501	0.551	0/3	0/0	1/0	0.551	0.395	0.551
PTPDC1	ENSG00000158079	Protein tyrosine phosphatase domain containing 1	9	46	0	0	0	0	0.702	NA	0.702	NA	NA	NA	NA	0.702	1	0.785 (0.338<96>1.62)	0.785 (0.338<96>1.62)		36	110	0.154	0.683	9/15	0/0	0/0	0.683	NA	0.683
PTPLA	ENSG00000165996	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A	3	13	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.926 (0.169<96>3.37)	0.926 (0.169<96>3.37)		9	26	0.497	0.764	3/9	0/0	0/0	0.764	NA	0.764
PTPLAD1	ENSG00000074696	Protein tyrosine phosphatase-like A domain containing 1	3	16	0	0	0	0	0.789	NA	0.789	NA	NA	NA	NA	0.789	1	0.753 (0.141<96>2.63)	0.753 (0.141<96>2.63)		17	44	0.123	0.779	3/8	0/0	0/0	0.779	NA	0.779
PTPLAD2	ENSG00000188921	Protein tyrosine phosphatase-like A domain containing 2	2	17	0	0	0	0	0.524	NA	0.524	NA	NA	NA	NA	0.524	1	0.472 (0.0529<96>1.99)	0.472 (0.0529<96>1.99)		6	40	0.358	0.629	2/2	0/0	0/0	0.629	NA	0.629
PTPLB	ENSG00000206527	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b	2	2	0	0	1	2	0.138	0.711	0.126	NA	NA	NA	NA	0.126	1	4.01 (0.291<96>55.3)	4.01 (0.291<96>55.3)	2.01 (0.034<96>38.5)	9	37	1	0.225	2/1	0/0	1/1	0.239	0.766	0.225
PTPMT1	ENSG00000110536	Protein tyrosine phosphatase, mitochondrial 1	4	11	0	0	0	0	0.503	NA	0.503	NA	NA	NA	NA	0.503	1	1.46 (0.339<96>4.93)	1.46 (0.339<96>4.93)		14	31	0.0967	0.525	4/5	0/0	0/0	0.525	NA	0.525
PTPN1	ENSG00000196396	Protein tyrosine phosphatase, non-receptor type 1	3	8	0	0	1	3	0.603	0.742	0.559	NA	NA	NA	NA	0.559	1	1.51 (0.257<96>6.27)	1.51 (0.257<96>6.27)	1.34 (0.0255<96>16.7)	22	77	0.545	0.731	3/4	0/0	1/2	0.731	1	0.731
PTPN11	ENSG00000179295	Protein tyrosine phosphatase, non-receptor type 11	1	1	0	0	6	30	0.495	0.829	0.495	NA	NA	NA	NA	0.495	1	4.01 (0.0511<96>314)	4.01 (0.0511<96>314)	0.803 (0.273<96>1.96)	12	95	0.0203	0.396	1/0	0/0	6/13	0.396	1	0.396
PTPN12	ENSG00000127947	Protein tyrosine phosphatase, non-receptor type 12	1	18	0	0	2	6	0.165	0.617	0.165	NA	NA	NA	NA	0.165	1	0.223 (0.00535<96>1.41)	0.223 (0.00535<96>1.41)	1.34 (0.132<96>7.48)	24	94	0.902	0.218	1/9	0/0	2/4	0.218	1	0.218
PTPN13	ENSG00000163629	Protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	17	70	0	0	0	0	0.649	NA	0.649	NA	NA	NA	NA	0.649	1	0.975 (0.538<96>1.67)	0.975 (0.538<96>1.67)		79	325	0.897	0.527	17/33	0/0	0/0	0.527	NA	0.527
PTPN14	ENSG00000152104	Protein tyrosine phosphatase, non-receptor type 14	3	22	0	0	0	0	0.547	NA	0.547	NA	NA	NA	NA	0.547	1	0.547 (0.105<96>1.82)	0.547 (0.105<96>1.82)		63	230	0.495	0.758	3/9	0/0	0/0	0.758	NA	0.758
PTPN18	ENSG00000072135	Protein tyrosine phosphatase, non-receptor type 18 (brain-derived)	8	29	0	0	0	0	0.83	NA	0.83	NA	NA	NA	NA	0.83	1	1.11 (0.437<96>2.48)	1.11 (0.437<96>2.48)		27	55	0.0233	0.297	8/10	0/0	0/0	0.297	NA	0.297
PTPN2	ENSG00000175354	Protein tyrosine phosphatase, non-receptor type 2	0	4	0	0	3	11	1	0.789	0.948	NA	NA	NA	NA	0.948	1	0 (0<96>6.08)	0 (0<96>6.08)	1.09 (0.196<96>4.14)	8	51	0.252	0.569	0/3	0/0	3/4	0.569	0.715	0.569
PTPN20B	ENSG00000183675	Protein tyrosine phosphatase, non-receptor type 20B	1	0	0	0	0	0	0.39	NA	0.39	NA	NA	NA	NA	0.39	1	Inf (0.103<96>Inf)	Inf (0.103<96>Inf)		0	1	1	0.396	1/0	0/0	0/0	0.396	NA	0.396
PTPN21	ENSG00000070778	Protein tyrosine phosphatase, non-receptor type 21	16	50	0	0	0	0	0.345	NA	0.345	NA	NA	NA	NA	0.345	1	1.28 (0.683<96>2.29)	1.28 (0.683<96>2.29)		59	233	0.881	0.29	16/22	0/0	0/0	0.29	NA	0.29
PTPN22	ENSG00000134242	Protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	9	51	0	0	0	0	0.296	NA	0.296	NA	NA	NA	NA	0.296	1	0.708 (0.306<96>1.45)	0.708 (0.306<96>1.45)		25	104	1	0.778	9/15	0/0	0/0	0.778	NA	0.778
PTPN23	ENSG00000076201	Protein tyrosine phosphatase, non-receptor type 23	9	43	0	0	0	0	0.812	NA	0.812	NA	NA	NA	NA	0.812	1	0.84 (0.36<96>1.75)	0.84 (0.36<96>1.75)		91	327	0.339	0.82	9/23	0/0	0/0	0.82	NA	0.82
PTPN3	ENSG00000070159	Protein tyrosine phosphatase, non-receptor type 3	17	47	0	0	0	0	0.233	NA	0.233	NA	NA	NA	NA	0.233	1	1.45 (0.782<96>2.58)	1.45 (0.782<96>2.58)		28	165	0.0504	0.245	17/22	0/0	0/0	0.245	NA	0.245
PTPN4	ENSG00000088179	Protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)	4	18	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.892 (0.22<96>2.71)	0.892 (0.22<96>2.71)		21	77	0.708	0.753	4/7	0/0	0/0	0.753	NA	0.753
PTPN5	ENSG00000110786	Protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)	2	8	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	1 (0.104<96>5.03)	1 (0.104<96>5.03)		26	102	0.918	1	2/5	0/0	0/0	1	NA	1
PTPN6	ENSG00000111679	Protein tyrosine phosphatase, non-receptor type 6	1	9	2	4	8	33	0.942	1	0.942	NA	NA	NA	NA	0.942	1	0.446 (0.0102<96>3.22)	0.926 (0.169<96>3.37)	0.973 (0.388<96>2.15)	34	107	0.237	0.645	1/6	2/2	8/20	0.672	0.836	0.645
PTPN7	ENSG00000143851	Protein tyrosine phosphatase, non-receptor type 7	9	22	0	0	0	0	0.5	NA	0.5	NA	NA	NA	NA	0.5	1	1.64 (0.666<96>3.71)	1.64 (0.666<96>3.71)		28	87	0.429	0.447	9/13	0/0	0/0	0.447	NA	0.447
PTPN9	ENSG00000169410	Protein tyrosine phosphatase, non-receptor type 9	6	18	0	0	0	0	0.584	NA	0.584	NA	NA	NA	NA	0.584	1	1.34 (0.435<96>3.52)	1.34 (0.435<96>3.52)		21	84	1	0.355	6/8	0/0	0/0	0.355	NA	0.355
PTPRA	ENSG00000132670	Protein tyrosine phosphatase, receptor type, A	0	11	0	0	2	10	0.236	1	0.236	NA	NA	NA	NA	0.236	1	0 (0<96>1.6)	0 (0<96>1.6)	0.803 (0.0855<96>3.77)	38	134	0.614	0.228	0/6	0/0	2/3	0.228	0.634	0.228
PTPRB	ENSG00000127329	Protein tyrosine phosphatase, receptor type, B	3	21	0	0	0	0	0.521	NA	0.521	NA	NA	NA	NA	0.521	1	0.764 (0.191<96>2.27)	0.764 (0.191<96>2.27)		83	321	0.777	0.864	3/9	0/0	0/0	0.864	NA	0.864
